Antrim East,Robert McCalmont,Irish Unionist
Antrim Mid,Hon. Hugh O'Neill,Irish Unionist
Antrim North,Peter Kerr-Smiley,Irish Unionist
Antrim South,Charles Curtis Craig,Irish Unionist
Armagh Mid,James Rolston Lonsdale,Irish Unionist
Armagh North,William Allen,Irish Unionist
Armagh South,Patrick Donnelly,Irish Nationalist
Belfast Cromac,William Arthur Lindsay,Irish Unionist
Belfast Duncairn,Sir Edward Carson,Irish Unionist
Belfast Falls,Joseph Devlin,Irish Nationalist
Belfast Ormeau,Thomas Moles,Irish Unionist
Belfast Pottinger,Herbert Dixon,Irish Unionist
Belfast Shankill,Samuel McGuffin,Labour Unionist
Belfast St Anne's,Thomas Henry Burn,Labour Unionist
Belfast Victoria,Thompson Donald,Labour Unionist
Belfast Woodvale,Robert Lynn,Irish Unionist
Carlow,James Lennon,Sinn FŽin
Cavan East,Arthur Griffith,Sinn FŽin
Cavan West,Paul Galligan,Sinn FŽin
Clare East,ƒamon de Valera,Sinn FŽin
Clare West,Brian O'Higgins,Sinn FŽin
Cork City,Liam de R—iste,Sinn FŽin
Cork City,James J. Walsh,Sinn FŽin
County Cork East,David Kent,Sinn FŽin
County Cork Mid,Terence MacSwiney,Sinn FŽin
County Cork North,Patrick O'Keeffe,Sinn FŽin
County Cork North East,Thomas Hunter,Sinn FŽin
County Cork South,Michael Collins,Sinn FŽin
County Cork South East,Diarmuid Lynch,Sinn FŽin
County Cork West,Se‡n Hayes,Sinn FŽin
Donegal East,Edward Kelly,Irish Nationalist
Donegal North,Joseph O'Doherty,Sinn FŽin
Donegal South,Peter J. Ward,Sinn FŽin
Donegal West,Joseph Sweeney,Sinn FŽin
Down East,David Reid,Irish Unionist
Down Mid,"Sir James Craig, Bt",Irish Unionist
Down North,Thomas Watters Brown,Irish Unionist
Down South,Jeremiah McVeagh,Irish Nationalist
Down West,Daniel Martin Wilson,Irish Unionist
Dublin Clontarf,Richard Mulcahy,Sinn FŽin
Dublin College Green,Se‡n T. O'Kelly,Sinn FŽin
Dublin County North,Frank Lawless,Sinn FŽin
Dublin County South,George Gavan Duffy,Sinn FŽin
Dublin Harbour,Philip Shanahan,Sinn FŽin
Dublin Pembroke,Desmond FitzGerald,Sinn FŽin
Dublin Rathmines,Sir Maurice Dockrell,Irish Unionist
Dublin St James's,Joseph McGrath,Sinn FŽin
Dublin St Michan's,Michael Staines,Sinn FŽin
Dublin St Patrick's,Constance Markievicz,Sinn FŽin
Dublin St Stephen's Green,Thomas Kelly,Sinn FŽin
Dublin University,Arthur Warren Samuels,Irish Unionist
Dublin University,Sir Robert Henry Woods,Ind. Unionist
Fermanagh North,Edward Archdale,Irish Unionist
Fermanagh South,Se‡n O'Mahony,Sinn FŽin
Galway Connemara,P‡draic î M‡ille,Sinn FŽin
Galway East,Liam Mellows,Sinn FŽin
Galway North,Bryan Cusack,Sinn FŽin
Galway South,Frank Fahy,Sinn FŽin
Kerry East,Piaras BŽasla’,Sinn FŽin
Kerry North,James Crowley,Sinn FŽin
Kerry South,Fion‡n Lynch,Sinn FŽin
Kerry West,Austin Stack,Sinn FŽin
Kildare North,Domhnall Ua Buachalla,Sinn FŽin
Kildare South,Art O'Connor,Sinn FŽin
Kilkenny North,W. T. Cosgrave,Sinn FŽin
Kilkenny South,James O'Mara,Sinn FŽin
King's County,Patrick McCartan,Sinn FŽin
Leitrim,James Dolan,Sinn FŽin
Limerick City,Michael Collivet,Sinn FŽin
Limerick East,Richard Hayes,Sinn FŽin
Limerick West,Con Collins,Sinn FŽin
Londonderry City,Eoin MacNeill,Sinn FŽin
Londonderry North,Hugh Alfred Anderson,Irish Unionist
Londonderry South,Denis Henry,Irish Unionist
Longford,Joseph McGuinness,Sinn FŽin
Louth,John J. O'Kelly,Sinn FŽin
Mayo East,ƒamon de Valera,Sinn FŽin
Mayo North,John Crowley,Sinn FŽin
Mayo South,William Sears,Sinn FŽin
Mayo West,Joseph MacBride,Sinn FŽin
Meath North,Liam Mellows,Sinn FŽin
Meath South,Eamonn Duggan,Sinn FŽin
Monaghan North,Ernest Blythe,Sinn FŽin
Monaghan South,Se‡n MacEntee,Sinn FŽin
National University of Ireland,Eoin MacNeill,Sinn FŽin
Queen's County,Kevin O'Higgins,Sinn FŽin
Queen's University of Belfast,Sir William Whitla,Irish Unionist
Roscommon North,The Count Plunkett,Sinn FŽin
Roscommon South,Harry Boland,Sinn FŽin
Sligo North,J. J. Clancy,Sinn FŽin
Sligo South,Alexander McCabe,Sinn FŽin
Tipperary East,Pierce McCan,Sinn FŽin
Tipperary Mid,SŽamus Burke,Sinn FŽin
Tipperary North,Joseph MacDonagh,Sinn FŽin
Tipperary South,P. J. Moloney,Sinn FŽin
Tyrone North-East,Thomas Harbison,Irish Nationalist
Tyrone North-West,Arthur Griffith,Sinn FŽin
Tyrone South,William Coote,Irish Unionist
County Waterford,Cathal Brugha,Sinn FŽin
Waterford City,William Redmond,Irish Nationalist
Westmeath,Laurence Ginnell,Sinn FŽin
Wexford North,Roger Sweetman,Sinn FŽin
Wexford South,James Ryan,Sinn FŽin
Wicklow East,Se‡n Etchingham,Sinn FŽin
Wicklow West,Robert Barton,Sinn FŽin